# Region type :       patch INLET
# Faces               : 25600
# Area                : 3.57823331707631e-02
# Scale factor        : 1.00000000000000e+00
# Time                	sum(phi)
0.0314                	-5.62665567843847e-02
0.0316                	-5.62905975706687e-02
0.0318                	-5.62975587171464e-02
0.032                 	-5.62980241076061e-02
0.0322                	-5.63102096192639e-02
0.0324                	-5.63378894464331e-02
0.0326                	-5.63672917502837e-02
0.0328                	-5.63788429347817e-02
0.033                 	-5.63773910062891e-02
0.0332                	-5.63928455063632e-02
0.0334                	-5.64328041860385e-02
0.0336                	-5.64918172490125e-02
0.0338                	-5.65412579538551e-02
0.034                 	-5.65881047932239e-02
0.0342                	-5.66383338876413e-02
0.0344                	-5.66917025770441e-02
0.0346                	-5.67481328694888e-02
0.0348                	-5.68119083062346e-02
0.035                 	-5.68683042759021e-02
0.0352                	-5.69207200336858e-02
0.0354                	-5.69613662534501e-02
0.0356                	-5.69807456911253e-02
0.0358                	-5.69984571555246e-02
0.036                 	-5.70263418033810e-02
0.0362                	-5.70660882091478e-02
0.0364                	-5.70942458207750e-02
0.0366                	-5.71141806326693e-02
0.0368                	-5.71317192756776e-02
0.037                 	-5.71571631868383e-02
0.0372                	-5.71916022438746e-02
0.0374                	-5.72170558133516e-02
0.0376                	-5.72442043402013e-02
0.0378                	-5.72572067177464e-02
0.038                 	-5.72581997234473e-02
0.0382                	-5.72634645619660e-02
0.0384                	-5.72630841684896e-02
0.0386                	-5.72690467106707e-02
0.0388                	-5.72727537537595e-02
0.039                 	-5.72544290036417e-02
0.0392                	-5.72074389110308e-02
0.0394                	-5.71807030320019e-02
0.0396                	-5.71679684553069e-02
0.0398                	-5.71440006744917e-02
0.04                  	-5.71150521752075e-02
0.0402                	-5.70795240124396e-02
0.0404                	-5.70593772640312e-02
0.0406                	-5.70512946492134e-02
0.0408                	-5.70317352765632e-02
0.041                 	-5.70020466788643e-02
0.0412                	-5.69862886601653e-02
0.0414                	-5.69798354985440e-02
0.0416                	-5.69615704365867e-02
0.0418                	-5.69265480382448e-02
0.042                 	-5.68975424203498e-02
0.0422                	-5.68886199883316e-02
0.0424                	-5.68958729086053e-02
0.0426                	-5.68897670131529e-02
0.0428                	-5.68677658780009e-02
0.043                 	-5.68460384953341e-02
0.0432                	-5.68365514618099e-02
0.0434                	-5.68506972466324e-02
0.0436                	-5.68548021870130e-02
0.0438                	-5.68443243205917e-02
0.044                 	-5.68324317208552e-02
0.0442                	-5.68125415061064e-02
0.0444                	-5.67859747195275e-02
0.0446                	-5.67604577069022e-02
0.0448                	-5.67478184666682e-02
0.045                 	-5.67458856983037e-02
0.0452                	-5.67458436630753e-02
0.0454                	-5.67273450141290e-02
0.0456                	-5.66886964743249e-02
0.0458                	-5.66628158661687e-02
